learning_rate,hidden_layers,neurons_per_layer,train_rmse,test_rmse,train_r2,test_r2
0.01,1,32,2.075127801622132,2.1217836097912603,0.5877286195755005,0.5633322596549988
0.01,1,64,2.0207107209348467,2.081585382138669,0.609067440032959,0.5797212719917297
0.01,1,128,2.0430205290736945,2.104706481053301,0.6003875732421875,0.5703330039978027
0.01,2,32,1.9938347834784471,2.1036534047978828,0.6193972826004028,0.5707628726959229
0.01,2,64,1.9850579874217622,2.095461199489749,0.6227407455444336,0.5740994215011597
0.01,2,128,1.9743607752355414,2.0930275771852016,0.626795768737793,0.5750881433486938
0.01,3,32,1.9825898003358884,2.07971622796502,0.6236782670021057,0.5804757475852966
0.01,3,64,1.972190950113914,2.108915948515617,0.6276155710220337,0.5686125755310059
0.01,3,128,1.9450831071982575,2.109024071309422,0.6377821564674377,0.5685683488845825
0.001,1,32,2.1425921726944823,2.1647247837738095,0.5604861974716187,0.5454785823822021
0.001,1,64,2.1477850077022325,2.1604728589825046,0.5583531856536865,0.54726243019104
0.001,1,128,2.144376401951213,2.1726511744565014,0.5597538352012634,0.5421440005302429
0.001,2,32,2.146583755084396,2.1779041074713676,0.5588470697402954,0.5399273633956909
0.001,2,64,2.1387398638352333,2.1720742068767,0.5620652437210083,0.5423871278762817
0.001,2,128,2.1049518902491733,2.1382430855716548,0.5757929682731628,0.5565311908721924
0.001,3,32,2.1041683219386447,2.134889357368618,0.5761086940765381,0.5579212307929993
0.001,3,64,2.125784298331018,2.1645534767912413,0.5673547983169556,0.545550525188446
0.001,3,128,2.0775952462518124,2.1143806275708594,0.5867475271224976,0.5663740634918213
0.0001,1,32,2.5961964382797347,2.5708232162278617,0.35468965768814087,0.35894787311553955
0.0001,1,64,2.4414326617866444,2.439660392256897,0.4293326139450073,0.42269188165664673
0.0001,1,128,2.4292364706202743,2.4520603237954655,0.43501991033554077,0.41680842638015747
0.0001,2,32,2.4170663404473713,2.415146861630852,0.44066667556762695,0.4342350363731384
0.0001,2,64,2.4571703215642695,2.427461736896662,0.4219517707824707,0.4284507632255554
0.0001,2,128,2.451452731448793,2.4465389998184963,0.4246387481689453,0.4194318652153015
0.0001,3,32,2.552666525029255,2.5275581281928505,0.3761478066444397,0.38034313917160034
0.0001,3,64,2.5468535408879087,2.5445714164497493,0.3789858818054199,0.3719732165336609
0.0001,3,128,2.4931842923719447,2.4797658274226984,0.40488308668136597,0.40355515480041504
