hidden_size,num_layers,learning_rate,train_rmse,test_rmse,train_r2,test_r2
32,1,0.01,2.242358684539795,2.1809635162353516,0.5303730964660645,0.5192704200744629
32,1,0.001,2.7072746753692627,2.567267894744873,0.3154463768005371,0.3338892459869385
32,1,0.0001,3.249241352081299,3.117109775543213,0.01393216848373413,0.018007278442382812
32,2,0.01,4.432267665863037,4.2399420738220215,-0.8348253965377808,-0.8168702125549316
32,2,0.001,2.659073829650879,2.5176761150360107,0.3396051526069641,0.3593751788139343
32,2,0.0001,2.935626983642578,2.8163228034973145,0.19509506225585938,0.19837939739227295
32,3,0.01,2.7630622386932373,2.58524227142334,0.28694307804107666,0.324529230594635
32,3,0.001,2.664458751678467,2.5202763080596924,0.33692777156829834,0.3580513000488281
32,3,0.0001,3.081514596939087,2.967693567276001,0.11310684680938721,0.1098930835723877
64,1,0.01,2.2276175022125244,2.17103910446167,0.5365273952484131,0.5236355066299438
64,1,0.001,2.7062718868255615,2.569976568222046,0.31595343351364136,0.3324829339981079
64,1,0.0001,3.386152744293213,3.276658773422241,-0.07091724872589111,-0.08509171009063721
64,2,0.01,3.3898444175720215,3.2005703449249268,-0.07325375080108643,-0.03528237342834473
64,2,0.001,2.603722095489502,2.4691052436828613,0.3668127655982971,0.3838545083999634
64,2,0.0001,2.962523937225342,2.8482818603515625,0.1802780032157898,0.1800827980041504
64,3,0.01,4.049530029296875,3.841705322265625,-0.5316238403320312,-0.49159932136535645
64,3,0.001,2.5454370975494385,2.4157087802886963,0.3948436975479126,0.41021567583084106
64,3,0.0001,2.850735902786255,2.717912197113037,0.24097377061843872,0.25342243909835815
128,1,0.01,2.217376708984375,2.164710760116577,0.5407788753509521,0.5264086723327637
128,1,0.001,2.693650960922241,2.5506670475006104,0.32231879234313965,0.3424760699272156
128,1,0.0001,3.074704885482788,2.9589712619781494,0.11702227592468262,0.11511760950088501
128,2,0.01,3.1330816745758057,2.945056438446045,0.08317536115646362,0.12342053651809692
128,2,0.001,2.5952885150909424,2.4596211910247803,0.37090808153152466,0.38857877254486084
128,2,0.0001,2.911189556121826,2.788144826889038,0.20843994617462158,0.21433991193771362
128,3,0.01,5.184493064880371,4.968094348907471,-1.510472297668457,-1.4945013523101807
128,3,0.001,2.5622739791870117,2.4282033443450928,0.3868114948272705,0.4040989279747009
128,3,0.0001,2.896928071975708,2.7682290077209473,0.2161765694618225,0.22552382946014404
