hidden_layers,learning_rate,train_rmse,test_rmse,train_r2,test_r2
"(5,)",0.01,2.2261920810144376,2.226094624112286,0.5281618219239688,0.5154348602990525
"(5,)",0.005,2.2174777345706196,2.207820885271766,0.5318485780807447,0.5233576796292045
"(5,)",0.001,2.2121208570929634,2.2022550420159126,0.5341077219910018,0.5257578494117836
"(10,)",0.01,2.089976401508049,2.1336882146995544,0.5841367187134954,0.5548290233808046
"(10,)",0.005,2.111318260660025,2.1388584937299235,0.5756001527044916,0.5526689638196636
"(10,)",0.001,2.161673096838965,2.1542317190786804,0.5551149147530297,0.546215395181636
"(5, 10)",0.01,2.172554003073367,2.2146503688971118,0.5506249333499826,0.5204043099474811
"(5, 10)",0.005,2.1749718863868637,2.1789923629435433,0.5496241378909683,0.5357238849803005
"(5, 10)",0.001,2.128126097394286,2.1509484540009565,0.5688161100232867,0.5475975675429935
"(10, 10)",0.01,2.2693608940691967,2.29975969582019,0.5096852652464074,0.48283414628465926
"(10, 10)",0.005,2.136012275392602,2.152411949333073,0.5656145203116183,0.5469817330835535
"(10, 10)",0.001,2.105074120423795,2.112752264064499,0.5781067321804343,0.5635222830475264
"(5, 5, 5)",0.01,3.2409481925104227,3.1980619956256495,-2.7605350820358865e-05,-8.90734197360743e-05
"(5, 5, 5)",0.005,2.1606755436596945,2.162994658303426,0.5555254246787433,0.542516095228466
"(5, 5, 5)",0.001,2.093335765568753,2.126885806610999,0.582798752469588,0.5576629964760453
"(5, 5, 10)",0.01,2.0991208380888557,2.161593851111197,0.5804896394256447,0.543108458439181
"(5, 5, 10)",0.005,2.4257760753393054,2.5021454344093854,0.43976630203581046,0.3878046544088143
"(5, 5, 10)",0.001,2.1809588194328637,2.1641822014956653,0.5471412724999745,0.5420136149908101
"(5, 5)",0.01,2.110437797167473,2.140648033892058,0.5759540459710617,0.5519201047945435
"(5, 5)",0.005,2.1961738043209538,2.1822343762502716,0.5408006916878767,0.5343413109829588
"(5, 5)",0.001,2.1714918327865993,2.16231198182553,0.551064228449356,0.5428048284567071
"(7,)",0.01,2.2689886397942036,2.240308665949618,0.5098461094617251,0.5092270212328218
"(7,)",0.005,2.2157233780053676,2.204427056454399,0.5325890406526264,0.5248219280612274
"(7,)",0.001,2.213920750001358,2.2006272375599236,0.5333492667281712,0.5264586657729973
"(10, 5)",0.01,2.2640560518986996,2.254814508882791,0.5119748985959502,0.5028510038431018
"(10, 5)",0.005,2.2660331874951667,2.252158402669436,0.5111221696139139,0.50402156824078
"(10, 5)",0.001,2.064076486404139,2.1056208411206367,0.5943799781673818,0.5664638999264856
"(10, 5, 5)",0.01,2.115555215792486,2.1581946325106816,0.5738950877644619,0.5445442999417383
"(10, 5, 5)",0.005,2.1184557065795153,2.127978014096027,0.5727258811179067,0.5572085782533585
"(10, 5, 5)",0.001,2.157321537701285,2.147765242743829,0.5569042650332071,0.5489356069637303
